Timestamp,"What class are you filling out this survey for? Check all that apply. If none of the listed options apply, select ""Other"" and enter your class name (for example, CS105).",What is your current class standing?,Are you a transfer student?,"What is your major/minor? (If your major is not listed, please write it in ""Other.."")",Rank the following reasons on why you chose CS (CSBA) or DS as your major or minor? [Interest in technology and problem-solving],Rank the following reasons on why you chose CS (CSBA) or DS as your major or minor? [Fascination with data analysis and decision-making],"Rank the following reasons on why you chose CS (CSBA) or DS as your major or minor? [Enjoyment of coding, programming, and building applications]",Rank the following reasons on why you chose CS (CSBA) or DS as your major or minor? [Strong job prospects and high earning potential],"Rank the following reasons on why you chose CS (CSBA) or DS as your major or minor? [Encouragement or advice from family members, mentors, or educators]",Rank the following reasons on why you chose CS (CSBA) or DS as your major or minor? [Pressure from family members],Rank the following reasons on why you chose CS (CSBA) or DS as your major or minor? [One or more of my family members or friends work in this area],"Have you ever thought about changing your major? If so, what were the reasons? Choose all that apply.","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Software Engineering]","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Web Development]","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Data Science]","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Computer security and cryptography]","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Databases]","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Algorithms]","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Game Development]","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Networks]","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Machine Learning, Data Mining, NLP, AI]","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Computer Architecture]","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Embedded systems]","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Computer Graphics]",Which of the following computer science programs or courses did you take during high school? Select all that apply.,Answer the following questions regarding CS/DS [I feel motivated to expand my CS/DS knowledge and skills beyond UCR’s core curriculum.],Answer the following questions regarding CS/DS [I feel satisfied with the CS/DS courses I have taken at UCR],Answer the following questions regarding CS/DS [I have a clear reason for choosing CS/DS as my major.],Answer the following questions regarding CS/DS [I have considered changing my major to something outside of CS/DS / I have considered no longer pursuing a minor in DS and other CS related majors / I have considered taking no more CS/DS classes in the future],Indicate how accurately the following statements about coding apply to you: [The code/programs I produce are exceptional],Indicate how accurately the following statements about coding apply to you: [I am very comfortable with programming/writing code.],Indicate how accurately the following statements about coding apply to you: [I enjoy coding in an academic setting.],Indicate how accurately the following statements about coding apply to you: [I enjoy coding outside of an academic setting.],Indicate how accurately the following statements about coding apply to you: [I often feel discouraged when coding.],What is your current cumulative GPA?,Around what time did you become interested in CS/DS?,How often do you attend TA/professor office hours?
4/26/2025 21:17:14,CS105,Sophomore,0,Data Science major,4,5,3,4,2,2,2,"N/A, I have never thought about changing my major.",Not applicable,Not applicable,1st,2nd,Not applicable,Not applicable,3rd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,AP courses and/or exam,5,5,5,4,4,5,5,5,4,3.33 – 3.67,High School,Seldom
4/26/2025 21:34:17,CS105,Junior,1,Data Science major,4,3,2,5,1,1,1,"I realized I’m more passionate about another field., The current major isn’t meeting my career goals., I wanted a major that aligns better with my personal values or lifestyle.",2nd,Not applicable,1st,Not applicable,Not applicable,3rd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,AP courses and/or exam,5,4,5,1,3,3,3,3,3,3.33 – 3.67,High School,Seldom
4/26/2025 21:40:29,CS105,Junior,0,CS major,4,3,5,4,3,2,3,"N/A, I have never thought about changing my major.",1st,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2nd,Not applicable,3rd,Not applicable,Not applicable,Not applicable,AP courses and/or exam,5,4,4,1,3,3,4,4,2,2.67 – 3.0,Before Middle School,Occasionally
4/26/2025 22:20:39,CS105,Senior,0,CS major,4,3,5,5,2,1,3,"N/A, I have never thought about changing my major.",1st,Not applicable,Not applicable,3rd,Not applicable,Not applicable,Not applicable,Not applicable,2nd,Not applicable,Not applicable,Not applicable,"PLTW courses and/or program, AP courses and/or exam",5,4,5,1,4,5,4,5,1,3.67 – 4.0,Before Middle School,Seldom
4/26/2025 22:33:27,"CS105, CS111",Sophomore,0,Data Science major,5,4,5,4,4,3,4,"N/A, I have never thought about changing my major.",2nd,Not applicable,2nd,3rd,2nd,3rd,1st,3rd,2nd,3rd,3rd,2nd,None of the above,5,4,4,2,3,4,4,4,2,3.67 – 4.0,Middle School,Seldom
4/26/2025 23:24:58,CS105,Senior,0,Mathematics major,na,na,na,na,na,na,na,"N/A, I have never thought about changing my major.","2nd, Not applicable",Not applicable,1st,Not applicable,1st,3rd,3rd,2nd,1st,Not applicable,Not applicable,"3rd, Not applicable",MESA program,5,4,4,1,3,4,3,4,1,2.67 – 3.0,Middle School,Seldom
4/27/2025 17:04:03,CS105,Senior,0,CS major,5,1,1,5,5,5,5,"N/A, I have never thought about changing my major.",1st,3rd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2nd,Not applicable,Not applicable,Not applicable,AP courses and/or exam,5,2,5,2,2,2,3,4,5,3.0 – 3.33,College,Never
4/27/2025 17:50:28,CS105,Senior,0,CS major,5,2,4,5,1,1,2,"N/A, I have never thought about changing my major.",3rd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1st,Not applicable,Not applicable,Not applicable,Not applicable,2nd,"PLTW courses and/or program, AP courses and/or exam",4,5,5,1,3,4,4,5,2,3.67 – 4.0,Before Middle School,Weekly to biweekly
4/27/2025 22:51:22,CS105,Junior,1,CS major,5,5,5,1,1,1,3,I wanted a major that aligns better with my personal values or lifestyle.,Not applicable,Not applicable,3rd,Not applicable,Not applicable,1st,Not applicable,Not applicable,2nd,Not applicable,Not applicable,Not applicable,None of the above,5,4,5,4,5,5,4,5,2,3.33 – 3.67,High School,Occasionally
4/28/2025 0:44:09,CS105,Junior,0,CS or DS minor,3,3,2,5,5,4,4,"N/A, I have never thought about changing my major.",Not applicable,Not applicable,1st,Not applicable,Not applicable,Not applicable,3rd,Not applicable,Not applicable,Not applicable,Not applicable,2nd,AP courses and/or exam,4,4,5,1,1,2,2,3,5,3.33 – 3.67,High School,Occasionally
